Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
roihan 01,4,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,2025-10-05 13:03:35,,0,8552067f-d932-43fa-b24c-50967c26b435,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,"['cukup', 'menarik', 'tapi', 'kalau', 'mau', 'premium', 'bukan', '1', 'bayar', 'aku', 'maunya', 'sekali', 'bayar', '.']","['cukup', 'menarik', 'tapi', 'kalau', 'mau', 'premium', 'bukan', '1', 'bayar', 'aku', 'maunya', 'sekali', 'bayar', '.']","['cukup', 'menarik', 'tapi', 'kalau', 'mau', 'premium', 'bukan', '1', 'bayar', 'aku', 'maunya', 'sekali', 'bayar']",cukup menarik tapi kalau mau premium bukan bayar aku maunya sekali bayar,"[('cukup', 'menarik'), ('menarik', 'tapi'), ('tapi', 'kalau'), ('kalau', 'mau'), ('mau', 'premium'), ('premium', 'bukan'), ('bukan', '1'), ('1', 'bayar'), ('bayar', 'aku'), ('aku', 'maunya'), ('maunya', 'sekali'), ('sekali', 'bayar')]","[('cukup', 'menarik', 'tapi'), ('menarik', 'tapi', 'kalau'), ('tapi', 'kalau', 'mau'), ('kalau', 'mau', 'premium'), ('mau', 'premium', 'bukan'), ('premium', 'bukan', '1'), ('bukan', '1', 'bayar'), ('1', 'bayar', 'aku'), ('bayar', 'aku', 'maunya'), ('aku', 'maunya', 'sekali'), ('maunya', 'sekali', 'bayar')]"
Mochamad Rudiasnawan,5,ok,2025-10-05 11:54:40,,0,997e81a4-c6f2-4035-bc95-ac09be4ad726,ok,['ok'],['ok'],['ok'],,[],[]
Qfficialyari _STeh,1,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",2025-10-05 11:26:30,,0,48098fe4-3215-4338-ad30-5db698baf9c8,"disuruh bayar ., daftar aja suruh bayar. gw kira ada yang free watch.","['Disuruh', 'bayar', '.', ',', 'Daftar', 'aja', 'suruh', 'bayar', '.', 'Gw', 'kira', 'ada', 'yang', 'free', 'watch', '.']","['disuruh', 'bayar', '.', ',', 'daftar', 'aja', 'suruh', 'bayar', '.', 'gw', 'kira', 'ada', 'yang', 'free', 'watch', '.']","['disuruh', 'bayar', 'daftar', 'aja', 'suruh', 'bayar', 'gw', 'kira', 'ada', 'yang', 'free', 'watch']",disuruh bayar daftar aja suruh bayar kira ada yang free watch,"[('disuruh', 'bayar'), ('bayar', 'daftar'), ('daftar', 'aja'), ('aja', 'suruh'), ('suruh', 'bayar'), ('bayar', 'gw'), ('gw', 'kira'), ('kira', 'ada'), ('ada', 'yang'), ('yang', 'free'), ('free', 'watch')]","[('disuruh', 'bayar', 'daftar'), ('bayar', 'daftar', 'aja'), ('daftar', 'aja', 'suruh'), ('aja', 'suruh', 'bayar'), ('suruh', 'bayar', 'gw'), ('bayar', 'gw', 'kira'), ('gw', 'kira', 'ada'), ('kira', 'ada', 'yang'), ('ada', 'yang', 'free'), ('yang', 'free', 'watch')]"
Willbrordus Wolo domaking,5,tolong tambahkan film detective Conan terbaru,2025-10-05 09:46:52,,0,26891b72-278b-4557-ba6a-338d2755d0c7,tolong tambahkan film detective conan terbaru,"['tolong', 'tambahkan', 'film', 'detective', 'Conan', 'terbaru']","['tolong', 'tambahkan', 'film', 'detect', 'conan', 'terbaru']","['tolong', 'tambahkan', 'film', 'detect', 'conan', 'terbaru']",tolong tambahkan film detect conan terbaru,"[('tolong', 'tambahkan'), ('tambahkan', 'film'), ('film', 'detect'), ('detect', 'conan'), ('conan', 'terbaru')]","[('tolong', 'tambahkan', 'film'), ('tambahkan', 'film', 'detect'), ('film', 'detect', 'conan'), ('detect', 'conan', 'terbaru')]"
Zila Zila,1,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,2025-10-05 09:22:18,,0,f244ab6d-af6c-4742-beff-65b04d38eefd,aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!👎,"['Aplikasinya', 'jelek', 'banget', 'lebih', 'bagus', 'aplikasi', 'sebelah', '(', 'tahu', 'kah', 'aplikasi', 'mana', ')', 'aku', 'lebih', 'suka', 'aplikasi', 'sebelah', 'dari', 'pada', 'aplikasi', 'ini', '!', '👎']","['aplikasinya', 'jelek', 'banget', 'lebih', 'bagu', 'aplikasi', 'sebelah', '(', 'tahu', 'kah', 'aplikasi', 'mana', ')', 'aku', 'lebih', 'suka', 'aplikasi', 'sebelah', 'dari', 'pada', 'aplikasi', 'ini', '!', '👎']","['aplikasinya', 'jelek', 'banget', 'lebih', 'bagu', 'aplikasi', 'sebelah', 'tahu', 'kah', 'aplikasi', 'mana', 'aku', 'lebih', 'suka', 'aplikasi', 'sebelah', 'dari', 'pada', 'aplikasi', 'ini']",aplikasinya jelek banget lebih bagu aplikasi sebelah tahu kah aplikasi mana aku lebih suka aplikasi sebelah dari pada aplikasi ini,"[('aplikasinya', 'jelek'), ('jelek', 'banget'), ('banget', 'lebih'), ('lebih', 'bagu'), ('bagu', 'aplikasi'), ('aplikasi', 'sebelah'), ('sebelah', 'tahu'), ('tahu', 'kah'), ('kah', 'aplikasi'), ('aplikasi', 'mana'), ('mana', 'aku'), ('aku', 'lebih'), ('lebih', 'suka'), ('suka', 'aplikasi'), ('aplikasi', 'sebelah'), ('sebelah', 'dari'), ('dari', 'pada'), ('pada', 'aplikasi'), ('aplikasi', 'ini')]","[('aplikasinya', 'jelek', 'banget'), ('jelek', 'banget', 'lebih'), ('banget', 'lebih', 'bagu'), ('lebih', 'bagu', 'aplikasi'), ('bagu', 'aplikasi', 'sebelah'), ('aplikasi', 'sebelah', 'tahu'), ('sebelah', 'tahu', 'kah'), ('tahu', 'kah', 'aplikasi'), ('kah', 'aplikasi', 'mana'), ('aplikasi', 'mana', 'aku'), ('mana', 'aku', 'lebih'), ('aku', 'lebih', 'suka'), ('lebih', 'suka', 'aplikasi'), ('suka', 'aplikasi', 'sebelah'), ('aplikasi', 'sebelah', 'dari'), ('sebelah', 'dari', 'pada'), ('dari', 'pada', 'aplikasi'), ('pada', 'aplikasi', 'ini')]"
Ikbal Nazrul,4,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,2025-10-05 09:16:57,,0,a0519451-a521-4415-a82b-9197de1d5f7a,ini tempat nonton paling favorit pokoknya👍👍👍👍👍👍👍👍👍👍👍👍,"['ini', 'tempat', 'nonton', 'paling', 'favorit', 'pokoknya👍👍👍👍👍👍👍👍👍👍👍👍']","['ini', 'tempat', 'nonton', 'pale', 'favorit', 'pokoknya👍👍👍👍👍👍👍👍👍👍👍👍']","['ini', 'tempat', 'nonton', 'pale', 'favorit']",ini tempat nonton pale favorit,"[('ini', 'tempat'), ('tempat', 'nonton'), ('nonton', 'pale'), ('pale', 'favorit')]","[('ini', 'tempat', 'nonton'), ('tempat', 'nonton', 'pale'), ('nonton', 'pale', 'favorit')]"
Albert Horman,5,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,2025-10-05 08:42:38,,0,645d18e0-87e4-4ccb-9449-d71b3bf32e67,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi gk ada di netflix tapi sudah bagus film filmnya juga berkualitas,"['aplikasi', 'ini', 'lumayan', 'bagus', 'walaupun', 'masih', 'ada', 'film', 'yg', 'aku', 'pengen', 'nonton', 'tapi', 'GK', 'ada', 'di', 'Netflix', 'tapi', 'sudah', 'bagus', 'film', 'filmnya', 'juga', 'berkualitas']","['aplikasi', 'ini', 'lumayan', 'bagu', 'walaupun', 'masih', 'ada', 'film', 'yg', 'aku', 'pengen', 'nonton', 'tapi', 'gk', 'ada', 'di', 'netflix', 'tapi', 'sudah', 'bagu', 'film', 'filmnya', 'juga', 'berkualita']","['aplikasi', 'ini', 'lumayan', 'bagu', 'walaupun', 'masih', 'ada', 'film', 'yg', 'aku', 'pengen', 'nonton', 'tapi', 'gk', 'ada', 'di', 'netflix', 'tapi', 'sudah', 'bagu', 'film', 'filmnya', 'juga', 'berkualita']",aplikasi ini lumayan bagu walaupun masih ada film aku pengen nonton tapi ada netflix tapi sudah bagu film filmnya juga berkualita,"[('aplikasi', 'ini'), ('ini', 'lumayan'), ('lumayan', 'bagu'), ('bagu', 'walaupun'), ('walaupun', 'masih'), ('masih', 'ada'), ('ada', 'film'), ('film', 'yg'), ('yg', 'aku'), ('aku', 'pengen'), ('pengen', 'nonton'), ('nonton', 'tapi'), ('tapi', 'gk'), ('gk', 'ada'), ('ada', 'di'), ('di', 'netflix'), ('netflix', 'tapi'), ('tapi', 'sudah'), ('sudah', 'bagu'), ('bagu', 'film'), ('film', 'filmnya'), ('filmnya', 'juga'), ('juga', 'berkualita')]","[('aplikasi', 'ini', 'lumayan'), ('ini', 'lumayan', 'bagu'), ('lumayan', 'bagu', 'walaupun'), ('bagu', 'walaupun', 'masih'), ('walaupun', 'masih', 'ada'), ('masih', 'ada', 'film'), ('ada', 'film', 'yg'), ('film', 'yg', 'aku'), ('yg', 'aku', 'pengen'), ('aku', 'pengen', 'nonton'), ('pengen', 'nonton', 'tapi'), ('nonton', 'tapi', 'gk'), ('tapi', 'gk', 'ada'), ('gk', 'ada', 'di'), ('ada', 'di', 'netflix'), ('di', 'netflix', 'tapi'), ('netflix', 'tapi', 'sudah'), ('tapi', 'sudah', 'bagu'), ('sudah', 'bagu', 'film'), ('bagu', 'film', 'filmnya'), ('film', 'filmnya', 'juga'), ('filmnya', 'juga', 'berkualita')]"
Faisal ASEPZz,1,sumpah bener bener nggaa wor it daftar nya suruh bayar,2025-10-05 08:31:30,,0,13c74933-fef8-4464-8a32-0f45e9e78349,sumpah bener bener nggaa wor it daftar nya suruh bayar,"['sumpah', 'bener', 'bener', 'nggaa', 'wor', 'it', 'daftar', 'nya', 'suruh', 'bayar']","['sumpah', 'bener', 'bener', 'nggaa', 'wor', 'it', 'daftar', 'nya', 'suruh', 'bayar']","['sumpah', 'bener', 'bener', 'nggaa', 'wor', 'daftar', 'nya', 'suruh', 'bayar']",sumpah bener bener nggaa wor daftar nya suruh bayar,"[('sumpah', 'bener'), ('bener', 'bener'), ('bener', 'nggaa'), ('nggaa', 'wor'), ('wor', 'daftar'), ('daftar', 'nya'), ('nya', 'suruh'), ('suruh', 'bayar')]","[('sumpah', 'bener', 'bener'), ('bener', 'bener', 'nggaa'), ('bener', 'nggaa', 'wor'), ('nggaa', 'wor', 'daftar'), ('wor', 'daftar', 'nya'), ('daftar', 'nya', 'suruh'), ('nya', 'suruh', 'bayar')]"
Klarisa anesti Indah S,1,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,2025-10-05 07:20:39,,0,efa5887a-b870-4bf1-9719-f170695c6136,kecewa banget udah daftar udah bayar malah ga bisa log in alasan gangguan terus,"['kecewa', 'banget', 'udah', 'daftar', 'udah', 'bayar', 'malah', 'ga', 'bisa', 'log', 'in', 'alasan', 'gangguan', 'terus']","['kecewa', 'banget', 'udah', 'daftar', 'udah', 'bayar', 'malah', 'ga', 'bisa', 'log', 'in', 'alasan', 'gangguan', 'teru']","['kecewa', 'banget', 'udah', 'daftar', 'udah', 'bayar', 'malah', 'ga', 'bisa', 'log', 'alasan', 'gangguan', 'teru']",kecewa banget udah daftar udah bayar malah bisa log alasan gangguan teru,"[('kecewa', 'banget'), ('banget', 'udah'), ('udah', 'daftar'), ('daftar', 'udah'), ('udah', 'bayar'), ('bayar', 'malah'), ('malah', 'ga'), ('ga', 'bisa'), ('bisa', 'log'), ('log', 'alasan'), ('alasan', 'gangguan'), ('gangguan', 'teru')]","[('kecewa', 'banget', 'udah'), ('banget', 'udah', 'daftar'), ('udah', 'daftar', 'udah'), ('daftar', 'udah', 'bayar'), ('udah', 'bayar', 'malah'), ('bayar', 'malah', 'ga'), ('malah', 'ga', 'bisa'), ('ga', 'bisa', 'log'), ('bisa', 'log', 'alasan'), ('log', 'alasan', 'gangguan'), ('alasan', 'gangguan', 'teru')]"
Jamal Uddin,5,netflix sangat menyenangkan,2025-10-05 07:06:27,,0,056dfb32-ad6f-4b3c-a649-56b70ce616cf,netflix sangat menyenangkan,"['netflix', 'sangat', 'menyenangkan']","['netflix', 'sangat', 'menyenangkan']","['netflix', 'sangat', 'menyenangkan']",netflix sangat menyenangkan,"[('netflix', 'sangat'), ('sangat', 'menyenangkan')]","[('netflix', 'sangat', 'menyenangkan')]"
Sari Winata,1,"udah berlangganan 1080p, kualitasnya masih jelek aja eek",2025-10-05 07:02:30,,0,c6eb6052-04d5-4b3f-a9a7-efeb3c910839,"udah berlangganan 1080p, kualitasnya masih jelek aja eek","['udah', 'berlangganan', '1080p', ',', 'kualitasnya', 'masih', 'jelek', 'aja', 'eek']","['udah', 'berlangganan', '1080p', ',', 'kualitasnya', 'masih', 'jelek', 'aja', 'eek']","['udah', 'berlangganan', '1080p', 'kualitasnya', 'masih', 'jelek', 'aja', 'eek']",udah berlangganan 1080p kualitasnya masih jelek aja eek,"[('udah', 'berlangganan'), ('berlangganan', '1080p'), ('1080p', 'kualitasnya'), ('kualitasnya', 'masih'), ('masih', 'jelek'), ('jelek', 'aja'), ('aja', 'eek')]","[('udah', 'berlangganan', '1080p'), ('berlangganan', '1080p', 'kualitasnya'), ('1080p', 'kualitasnya', 'masih'), ('kualitasnya', 'masih', 'jelek'), ('masih', 'jelek', 'aja'), ('jelek', 'aja', 'eek')]"
GM ADDICTED BOOK,1,susah,2025-10-05 06:50:11,,0,e285a718-927f-485f-9879-fe464e0af059,susah,['susah'],['susah'],['susah'],susah,[],[]
Warung Hp,1,"dulu ga da bayar apa pun kecuali VIP, ini di harus kan walau bukan member VIP , g guna .. duit duit Mulu kalian heran gw..",2025-10-05 05:47:16,,0,eeeb85b1-0bf6-485c-aebe-26570ef45416,"dulu ga da bayar apa pun kecuali vip, ini di harus kan walau bukan member vip , g guna .. duit duit mulu kalian heran gw..","['dulu', 'ga', 'da', 'bayar', 'apa', 'pun', 'kecuali', 'VIP', ',', 'ini', 'di', 'harus', 'kan', 'walau', 'bukan', 'member', 'VIP', ',', 'g', 'guna', '..', 'duit', 'duit', 'Mulu', 'kalian', 'heran', 'gw', '..']","['dulu', 'ga', 'da', 'bayar', 'apa', 'pun', 'kecuali', 'vip', ',', 'ini', 'di', 'haru', 'kan', 'walau', 'bukan', 'member', 'vip', ',', 'g', 'guna', '..', 'duit', 'duit', 'mulu', 'kalian', 'heran', 'gw', '..']","['dulu', 'ga', 'da', 'bayar', 'apa', 'pun', 'kecuali', 'vip', 'ini', 'di', 'haru', 'kan', 'walau', 'bukan', 'member', 'vip', 'g', 'guna', 'duit', 'duit', 'mulu', 'kalian', 'heran', 'gw']",dulu bayar apa pun kecuali vip ini haru kan walau bukan member vip guna duit duit mulu kalian heran,"[('dulu', 'ga'), ('ga', 'da'), ('da', 'bayar'), ('bayar', 'apa'), ('apa', 'pun'), ('pun', 'kecuali'), ('kecuali', 'vip'), ('vip', 'ini'), ('ini', 'di'), ('di', 'haru'), ('haru', 'kan'), ('kan', 'walau'), ('walau', 'bukan'), ('bukan', 'member'), ('member', 'vip'), ('vip', 'g'), ('g', 'guna'), ('guna', 'duit'), ('duit', 'duit'), ('duit', 'mulu'), ('mulu', 'kalian'), ('kalian', 'heran'), ('heran', 'gw')]","[('dulu', 'ga', 'da'), ('ga', 'da', 'bayar'), ('da', 'bayar', 'apa'), ('bayar', 'apa', 'pun'), ('apa', 'pun', 'kecuali'), ('pun', 'kecuali', 'vip'), ('kecuali', 'vip', 'ini'), ('vip', 'ini', 'di'), ('ini', 'di', 'haru'), ('di', 'haru', 'kan'), ('haru', 'kan', 'walau'), ('kan', 'walau', 'bukan'), ('walau', 'bukan', 'member'), ('bukan', 'member', 'vip'), ('member', 'vip', 'g'), ('vip', 'g', 'guna'), ('g', 'guna', 'duit'), ('guna', 'duit', 'duit'), ('duit', 'duit', 'mulu'), ('duit', 'mulu', 'kalian'), ('mulu', 'kalian', 'heran'), ('kalian', 'heran', 'gw')]"
Tang chanel,1,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh",2025-10-05 05:41:20,,0,b3b2fb11-31e4-4e27-a5c9-4333363e1801,"saya juga download masuknya sulit sekali hrs email,email dah g bisa kepake padahal mau nonton aja ribet... uninstall deh","['saya', 'juga', 'download', 'masuknya', 'sulit', 'sekali', 'hrs', 'email', ',', 'email', 'dah', 'g', 'bisa', 'kepake', 'padahal', 'mau', 'nonton', 'aja', 'ribet', '...', 'uninstall', 'deh']","['saya', 'juga', 'download', 'masuknya', 'sulit', 'sekali', 'hr', 'email', ',', 'email', 'dah', 'g', 'bisa', 'kepak', 'padah', 'mau', 'nonton', 'aja', 'ribet', '...', 'uninstal', 'deh']","['saya', 'juga', 'download', 'masuknya', 'sulit', 'sekali', 'hr', 'email', 'email', 'dah', 'g', 'bisa', 'kepak', 'padah', 'mau', 'nonton', 'aja', 'ribet', 'uninstal', 'deh']",saya juga download masuknya sulit sekali email email dah bisa kepak padah mau nonton aja ribet uninstal deh,"[('saya', 'juga'), ('juga', 'download'), ('download', 'masuknya'), ('masuknya', 'sulit'), ('sulit', 'sekali'), ('sekali', 'hr'), ('hr', 'email'), ('email', 'email'), ('email', 'dah'), ('dah', 'g'), ('g', 'bisa'), ('bisa', 'kepak'), ('kepak', 'padah'), ('padah', 'mau'), ('mau', 'nonton'), ('nonton', 'aja'), ('aja', 'ribet'), ('ribet', 'uninstal'), ('uninstal', 'deh')]","[('saya', 'juga', 'download'), ('juga', 'download', 'masuknya'), ('download', 'masuknya', 'sulit'), ('masuknya', 'sulit', 'sekali'), ('sulit', 'sekali', 'hr'), ('sekali', 'hr', 'email'), ('hr', 'email', 'email'), ('email', 'email', 'dah'), ('email', 'dah', 'g'), ('dah', 'g', 'bisa'), ('g', 'bisa', 'kepak'), ('bisa', 'kepak', 'padah'), ('kepak', 'padah', 'mau'), ('padah', 'mau', 'nonton'), ('mau', 'nonton', 'aja'), ('nonton', 'aja', 'ribet'), ('aja', 'ribet', 'uninstal'), ('ribet', 'uninstal', 'deh')]"
Frenly,1,BURUKKK,2025-10-05 03:54:19,,0,60a1c192-c36f-4dd9-a7dd-6ae2589a3d30,burukkk,['BURUKKK'],['burukkk'],['burukkk'],burukkk,[],[]
Andi Husaini,5,very god,2025-10-05 03:45:42,,0,b874e037-a4cf-4495-9d95-82736c3c37d2,very god,"['very', 'god']","['veri', 'god']","['veri', 'god']",veri god,"[('veri', 'god')]",[]
Indri Mahawira,1,jelek,2025-10-05 02:48:31,,0,8b25c0e0-d432-43ed-8d55-6ccffbf26a21,jelek,['jelek'],['jelek'],['jelek'],jelek,[],[]
Nuril Rohman,5,✌️👍,2025-10-05 00:16:18,,0,a46ef095-be2e-492c-bf4c-603779e6f057,✌️👍,['✌️👍'],['✌️👍'],[],,[],[]
Anissa kiren,1,setiap mau nonton ko loading terus ya aneh,2025-10-04 22:50:43,,0,84596468-c4ae-4e66-86b4-a8e5d9162b24,setiap mau nonton ko loading terus ya aneh,"['setiap', 'mau', 'nonton', 'ko', 'loading', 'terus', 'ya', 'aneh']","['setiap', 'mau', 'nonton', 'ko', 'load', 'teru', 'ya', 'aneh']","['setiap', 'mau', 'nonton', 'ko', 'load', 'teru', 'ya', 'aneh']",setiap mau nonton load teru aneh,"[('setiap', 'mau'), ('mau', 'nonton'), ('nonton', 'ko'), ('ko', 'load'), ('load', 'teru'), ('teru', 'ya'), ('ya', 'aneh')]","[('setiap', 'mau', 'nonton'), ('mau', 'nonton', 'ko'), ('nonton', 'ko', 'load'), ('ko', 'load', 'teru'), ('load', 'teru', 'ya'), ('teru', 'ya', 'aneh')]"
Aprili April,5,makasih Netflix sangat mempermudah untuk nonton drakor,2025-10-04 22:10:25,,0,a0b0b41b-d3ad-4ac3-bf87-0c7068f34982,makasih netflix sangat mempermudah untuk nonton drakor,"['makasih', 'Netflix', 'sangat', 'mempermudah', 'untuk', 'nonton', 'drakor']","['makasih', 'netflix', 'sangat', 'mempermudah', 'untuk', 'nonton', 'drakor']","['makasih', 'netflix', 'sangat', 'mempermudah', 'untuk', 'nonton', 'drakor']",makasih netflix sangat mempermudah untuk nonton drakor,"[('makasih', 'netflix'), ('netflix', 'sangat'), ('sangat', 'mempermudah'), ('mempermudah', 'untuk'), ('untuk', 'nonton'), ('nonton', 'drakor')]","[('makasih', 'netflix', 'sangat'), ('netflix', 'sangat', 'mempermudah'), ('sangat', 'mempermudah', 'untuk'), ('mempermudah', 'untuk', 'nonton'), ('untuk', 'nonton', 'drakor')]"
Ilham Ramadhan,1,pembayaran jangan Oto debit Shopee dong!! menyusahkan.ubah pembayaran Via Shopee jadi manual!!!!,2025-10-04 18:34:48,,0,bfd35290-e18c-4cf9-8de2-a98bd0f87ca8,pembayaran jangan oto debit shopee dong!! menyusahkan.ubah pembayaran via shopee jadi manual!!!!,"['pembayaran', 'jangan', 'Oto', 'debit', 'Shopee', 'dong', '!', '!', 'menyusahkan.ubah', 'pembayaran', 'Via', 'Shopee', 'jadi', 'manual', '!', '!', '!', '!']","['pembayaran', 'jangan', 'oto', 'debit', 'shope', 'dong', '!', '!', 'menyusahkan.ubah', 'pembayaran', 'via', 'shope', 'jadi', 'manual', '!', '!', '!', '!']","['pembayaran', 'jangan', 'oto', 'debit', 'shope', 'dong', 'pembayaran', 'via', 'shope', 'jadi', 'manual']",pembayaran jangan oto debit shope dong pembayaran via shope jadi manual,"[('pembayaran', 'jangan'), ('jangan', 'oto'), ('oto', 'debit'), ('debit', 'shope'), ('shope', 'dong'), ('dong', 'pembayaran'), ('pembayaran', 'via'), ('via', 'shope'), ('shope', 'jadi'), ('jadi', 'manual')]","[('pembayaran', 'jangan', 'oto'), ('jangan', 'oto', 'debit'), ('oto', 'debit', 'shope'), ('debit', 'shope', 'dong'), ('shope', 'dong', 'pembayaran'), ('dong', 'pembayaran', 'via'), ('pembayaran', 'via', 'shope'), ('via', 'shope', 'jadi'), ('shope', 'jadi', 'manual')]"
A Haigal Wiriawan,1,gabisa nonton saya,2025-10-04 17:56:21,,0,f069181f-8cbd-4759-9d20-ad43a2c520fb,gabisa nonton saya,"['gabisa', 'nonton', 'saya']","['gabisa', 'nonton', 'saya']","['gabisa', 'nonton', 'saya']",gabisa nonton saya,"[('gabisa', 'nonton'), ('nonton', 'saya')]","[('gabisa', 'nonton', 'saya')]"
Indra Saputra,1,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau",2025-10-04 17:02:23,,2,499fbbd5-7353-42ba-9b8b-293be55900db,"ini maksudnya apa? kenapa pembayaran nya langsung ambil uang saya di dana? tanpa ada minta verifikasi atau konfirmasi? saya jga punya kebutuhan lain, saya belum bayar kalau blum terpenuhi kebutuhan lain, aplikasi kurang ajar memang kau","['ini', 'maksudnya', 'apa', '?', 'kenapa', 'pembayaran', 'nya', 'langsung', 'ambil', 'uang', 'saya', 'di', 'dana', '?', 'tanpa', 'ada', 'minta', 'verifikasi', 'atau', 'konfirmasi', '?', 'saya', 'jga', 'punya', 'kebutuhan', 'lain', ',', 'saya', 'belum', 'bayar', 'kalau', 'blum', 'terpenuhi', 'kebutuhan', 'lain', ',', 'aplikasi', 'kurang', 'ajar', 'memang', 'kau']","['ini', 'maksudnya', 'apa', '?', 'kenapa', 'pembayaran', 'nya', 'langsung', 'ambil', 'uang', 'saya', 'di', 'dana', '?', 'tanpa', 'ada', 'minta', 'verifikasi', 'atau', 'konfirmasi', '?', 'saya', 'jga', 'punya', 'kebutuhan', 'lain', ',', 'saya', 'belum', 'bayar', 'kalau', 'blum', 'terpenuhi', 'kebutuhan', 'lain', ',', 'aplikasi', 'kurang', 'ajar', 'memang', 'kau']","['ini', 'maksudnya', 'apa', 'kenapa', 'pembayaran', 'nya', 'langsung', 'ambil', 'uang', 'saya', 'di', 'dana', 'tanpa', 'ada', 'minta', 'verifikasi', 'atau', 'konfirmasi', 'saya', 'jga', 'punya', 'kebutuhan', 'lain', 'saya', 'belum', 'bayar', 'kalau', 'blum', 'terpenuhi', 'kebutuhan', 'lain', 'aplikasi', 'kurang', 'ajar', 'memang', 'kau']",ini maksudnya apa kenapa pembayaran nya langsung ambil uang saya dana tanpa ada minta verifikasi atau konfirmasi saya jga punya kebutuhan lain saya belum bayar kalau blum terpenuhi kebutuhan lain aplikasi kurang ajar memang kau,"[('ini', 'maksudnya'), ('maksudnya', 'apa'), ('apa', 'kenapa'), ('kenapa', 'pembayaran'), ('pembayaran', 'nya'), ('nya', 'langsung'), ('langsung', 'ambil'), ('ambil', 'uang'), ('uang', 'saya'), ('saya', 'di'), ('di', 'dana'), ('dana', 'tanpa'), ('tanpa', 'ada'), ('ada', 'minta'), ('minta', 'verifikasi'), ('verifikasi', 'atau'), ('atau', 'konfirmasi'), ('konfirmasi', 'saya'), ('saya', 'jga'), ('jga', 'punya'), ('punya', 'kebutuhan'), ('kebutuhan', 'lain'), ('lain', 'saya'), ('saya', 'belum'), ('belum', 'bayar'), ('bayar', 'kalau'), ('kalau', 'blum'), ('blum', 'terpenuhi'), ('terpenuhi', 'kebutuhan'), ('kebutuhan', 'lain'), ('lain', 'aplikasi'), ('aplikasi', 'kurang'), ('kurang', 'ajar'), ('ajar', 'memang'), ('memang', 'kau')]","[('ini', 'maksudnya', 'apa'), ('maksudnya', 'apa', 'kenapa'), ('apa', 'kenapa', 'pembayaran'), ('kenapa', 'pembayaran', 'nya'), ('pembayaran', 'nya', 'langsung'), ('nya', 'langsung', 'ambil'), ('langsung', 'ambil', 'uang'), ('ambil', 'uang', 'saya'), ('uang', 'saya', 'di'), ('saya', 'di', 'dana'), ('di', 'dana', 'tanpa'), ('dana', 'tanpa', 'ada'), ('tanpa', 'ada', 'minta'), ('ada', 'minta', 'verifikasi'), ('minta', 'verifikasi', 'atau'), ('verifikasi', 'atau', 'konfirmasi'), ('atau', 'konfirmasi', 'saya'), ('konfirmasi', 'saya', 'jga'), ('saya', 'jga', 'punya'), ('jga', 'punya', 'kebutuhan'), ('punya', 'kebutuhan', 'lain'), ('kebutuhan', 'lain', 'saya'), ('lain', 'saya', 'belum'), ('saya', 'belum', 'bayar'), ('belum', 'bayar', 'kalau'), ('bayar', 'kalau', 'blum'), ('kalau', 'blum', 'terpenuhi'), ('blum', 'terpenuhi', 'kebutuhan'), ('terpenuhi', 'kebutuhan', 'lain'), ('kebutuhan', 'lain', 'aplikasi'), ('lain', 'aplikasi', 'kurang'), ('aplikasi', 'kurang', 'ajar'), ('kurang', 'ajar', 'memang'), ('ajar', 'memang', 'kau')]"
